 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   WE  OP       CE    
 0351     75      F    0   0        111110 1111                               
 0352     74      F    0   0        111110 1111                               
 0353     73      F    0   0        111110 1111                               
 0354     7E      0    0   0        111110 1111                               
 0355     7D      0    0   0        111110 1111                               
 0356     7C      0    0   0        111110 1111                               
 0357     7B      0    0   0        111110 1111                               
 0358     7A      0    0   0        111110 1111                               
 0359     79      0    0   0        111110 1111                               
 0360     78      0    0   0        111110 1111                               
 0361     77      0    0   0        111110 1111                               
 0362     76      0    0   0        111110 1111                               
 0363     75      8    0   0        111110 1111                               
 0364     74      0    0   0        111110 1111                               
 0365     73      0    0   0        111110 1111                               
 0366     7C      F    0   0        111110 1111                               
 0367     7B      F    0   0        111110 1111                               
 0368     7A      F    0   0        111110 1111                               
 0369     79      F    0   0        111110 1111                               
 0370     78      F    0   0        111110 1111                               
 0371     77      F    0   0        111110 1111                               
 0372     76      F    0   0        111110 1111                               
 0373     75      0    0   0        111110 1111                               
 0374     75      0    0   0        111110 1111                               
 0375     74      4    0   0        111110 1111                               
 0376     73      1    0   0        111110 1111                               
 0377     7C      0    0   0        111110 1111                               
 0378     7B      0    0   0        111110 1111                               
 0379     7A      0    0   0        111110 1111                               
 0380     79      0    0   0        111110 1111                               
 0381     78      0    0   0        111110 1111                               
 0382     77      0    0   0        111110 1111                               
 0383     76      0    0   0        111110 1111                               
 0384     75      4    0   0        111110 1111                               
 0385     74      4    0   0        111110 1111                               
 0386     73      5    0   0        111110 1111                               
 0387     7C      F    1   0        111101 1111                               
 0388     7B      F    1   0        111101 1111                               
 0389     7A      F    1   0        111101 1111                               
 0390     79      F    1   0        111101 1111                               
 0391     78      F    1   0        111101 1111                               
 0392     77      F    1   0        111101 1111                               
 0393     76      F    1   0        111101 1111                               
 0394     75      0    1   0        111101 1111                               
 0395     74      4    1   0        111101 1111                               
 0396     73      1    1   0        111101 1111                               
 0397     7E      0    1   0        111101 1111                               
 0398     7D      0    1   0        111101 1111                               
 0399     7C      0    1   0        111101 1111                               
 0400     7B      0    1   0        111101 1111                               
 0401     7A      0    1   0        111101 1111                               
 0402     79      8    1   0        111101 1111                               
 0403     78      0    1   0        111101 1111                               
 0404     77      0    1   0        111101 1111                               
 0405     76      0    1   0        111101 1111                               
 0406     75      4    1   0        111101 1111                               
 0407     74      4    1   0        111101 1111                               
 0408     73      5    1   0        111101 1111                               
 0409     7C      F    0   0        111110 1111                               
 0410     7B      F    0   0        111110 1111                               
 0411     7A      F    0   0        111110 1111                               
 0412     79      F    0   0        111110 1111                               
 0413     78      F    0   0        111110 1111                               
 0414     77      F    0   0        111110 1111                               
 0415     76      F    0   0        111110 1111                               
 0416     75      F    0   0        111110 1111                               
 0417     74      F    0   0        111110 1111                               
 0418     73      F    0   0        111110 1111                               
 0419     7E      0    0   0        111110 1111                               
 0420     7D      0    0   0        111110 1111                               
 0421     7C      0    0   0        111110 1111                               
 0422     7B      0    0   0        111110 1111                               
 0423     7A      0    0   0        111110 1111                               
 0424     79      0    0   0        111110 1111                               
 0425     78      0    0   0        111110 1111                               
 0426     77      0    0   0        111110 1111                               
 0427     76      0    0   0        111110 1111                               
 0428     75      8    0   0        111110 1111                               
 0429     74      0    0   0        111110 1111                               
 0430     73      0    0   0        111110 1111                               
 0431     7C      F    0   0        111110 1111                               
 0432     7B      F    0   0        111110 1111                               
 0433     7A      F    0   0        111110 1111                               
 0434     79      F    0   0        111110 1111                               
 0435     78      F    0   0        111110 1111                               
 0436     77      F    0   0        111110 1111                               
 0437     76      3    0   0        111110 1111                               
 0438     75      0    0   0        111110 1111                               
 0439     74      4    0   0        111110 1111                               
 0440     73      1    0   0        111110 1111                               
 0441     7C      0    0   0        111110 1111                               
 0442     7B      0    0   0        111110 1111                               
 0443     7A      0    0   0        111110 1111                               
 0444     79      0    0   0        111110 1111                               
 0445     78      0    0   0        111110 1111                               
 0446     77      0    0   0        111110 1111                               
 0447     76      4    0   0        111110 1111                               
 0448     75      4    0   0        111110 1111                               
 0449     74      4    0   0        111110 1111                               
 0450     73      5    0   0        111110 1111                               
 0451     7C      F    1   0        111101 1111                               
 0452     7B      F    1   0        111101 1111                               
 0453     7A      F    1   0        111101 1111                               
 0454     79      F    1   0        111101 1111                               
 0455     78      F    1   0        111101 1111                               
 0456     77      F    1   0        111101 1111                               
 0457     76      3    1   0        111101 1111                               
 0458     75      0    1   0        111101 1111                               
 0459     74      4    1   0        111101 1111                               
 0460     73      1    1   0        111101 1111                               
 0461     7E      0    1   0        111101 1111                               
 0462     7D      0    1   0        111101 1111                               
 0463     7C      0    1   0        111101 1111                               
 0464     7B      0    1   0        111101 1111                               
 0465     7A      0    1   0        111101 1111                               
 0466     79      8    1   0        111101 1111                               
 0467     78      0    1   0        111101 1111                               
 0468     77      0    1   0        111101 1111                               
 0469     76      4    1   0        111101 1111                               
 0470     75      4    1   0        111101 1111                               
 0471     74      4    1   0        111101 1111                               
 0472     73      5    1   0        111101 1111                               
 0473     7C      F    0   0        111110 1111                               
 0474     7B      F    0   0        111110 1111                               
 0475     7A      F    0   0        111110 1111                               
 0476     79      F    0   0        111110 1111                               
 0477     78      F    0   0        111110 1111                               
 0478     77      F    0   0        111110 1111                               
 0479     76      F    0   0        111110 1111                               
 0480     75      F    0   0        111110 1111                               
 0481     74      F    0   0        111110 1111                               
 0482     73      F    0   0        111110 1111                               
 0483     7E      0    0   0        111110 1111                               
 0484     7D      0    0   0        111110 1111                               
 0485     7C      0    0   0        111110 1111                               
 0486     7B      0    0   0        111110 1111                               
 0487     7A      0    0   0        111110 1111                               
 0488     79      0    0   0        111110 1111                               
 0489     78      0    0   0        111110 1111                               
 0490     77      0    0   0        111110 1111                               
 0491     76      0    0   0        111110 1111                               
 0492     75      8    0   0        111110 1111                               
 0493     74      0    0   0        111110 1111                               
 0494     73      0    0   0        111110 1111                               
 0495     7C      F    0   0        111110 1111                               
 0496     7B      F    0   0        111110 1111                               
 0497     7A      F    0   0        111110 1111                               
 0498     79      F    0   0        111110 1111                               
 0499     78      F    0   0        111110 1111                               
 0500     77      8    0   0        111110 1111                               
 0501     76      3    0   0        111110 1111                               
 0502     75      0    0   0        111110 1111                               
 0503     74      4    0   0        111110 1111                               
 0504     73      1    0   0        111110 1111                               
 0505     7C      0    0   0        111110 1111                               
 0506     7B      0    0   0        111110 1111                               
 0507     7A      0    0   0        111110 1111                               
 0508     79      0    0   0        111110 1111                               
 0509     78      0    0   0        111110 1111                               
 0510     77      5    0   0        111110 1111                               
 0511     76      4    0   0        111110 1111                               
 0512     75      4    0   0        111110 1111                               
 0513     74      4    0   0        111110 1111                               
 0514     73      5    0   0        111110 1111                               
 0515     7C      F    1   0        111101 1111                               
 0516     7B      F    1   0        111101 1111                               
 0517     7A      F    1   0        111101 1111                               
 0518     79      F    1   0        111101 1111                               
 0519     78      F    1   0        111101 1111                               
 0520     77      8    1   0        111101 1111                               
 0521     76      0    1   0        111101 1111                               
 0522     76      3    1   0        111101 1111                               
 0523     75      0    1   0        111101 1111                               
 0524     74      4    1   0        111101 1111                               
 0525     73      1    1   0        111101 1111                               
 0526     7E      0    1   0        111101 1111                               
 0527     7D      0    1   0        111101 1111                               
 0528     7C      0    1   0        111101 1111                               
 0529     7B      0    1   0        111101 1111                               
 0530     7A      0    1   0        111101 1111                               
 0531     79      8    1   0        111101 1111                               
 0532     78      0    1   0        111101 1111                               
 0533     77      5    1   0        111101 1111                               
 0534     76      4    1   0        111101 1111                               
 0535     75      4    1   0        111101 1111                               
 0536     74      4    1   0        111101 1111                               
 0537     73      5    1   0        111101 1111                               
 0538     7C      F    0   0        111110 1111                               
 0539     7B      F    0   0        111110 1111                               
 0540     7A      F    0   0        111110 1111                               
 0541     79      F    0   0        111110 1111                               
 0542     78      F    0   0        111110 1111                               
 0543     77      F    0   0        111110 1111                               
 0544     76      F    0   0        111110 1111                               
 0545     75      F    0   0        111110 1111                               
 0546     74      F    0   0        111110 1111                               
 0547     73      F    0   0        111110 1111                               
 0548     7E      0    0   0        111110 1111                               
 0549     7D      0    0   0        111110 1111                               
 0550     7C      0    0   0        111110 1111                               
 0551     7B      0    0   0        111110 1111                               
 0552     7A      0    0   0        111110 1111                               
 0553     79      0    0   0        111110 1111                               
 0554     78      0    0   0        111110 1111                               
 0555     77      0    0   0        111110 1111                               
 0556     76      0    0   0        111110 1111                               
 0557     75      8    0   0        111110 1111                               
 0558     74      0    0   0        111110 1111                               
 0559     73      0    0   0        111110 1111                               
 0560     7C      F    0   0        111110 1111                               
 0561     7B      F    0   0        111110 1111                               
 0562     7A      F    0   0        111110 1111                               
 0563     79      F    0   0        111110 1111                               
 0564     78      F    0   0        111110 1111                               
 0565     77      8    0   0        111110 1111                               
 0566     76      3    0   0        111110 1111                               
 0567     75      0    0   0        111110 1111                               
 0568     74      4    0   0        111110 1111                               
 0569     73      1    0   0        111110 1111                               
 0570     7C      0    0   0        111110 1111                               
 0571     7B      0    0   0        111110 1111                               
 0572     7A      0    0   0        111110 1111                               
 0573     79      0    0   0        111110 1111                               
 0574     78      0    0   0        111110 1111                               
 0575     77      5    0   0        111110 1111                               
 0576     76      4    0   0        111110 1111                               
 0577     75      4    0   0        111110 1111                               
 0578     74      4    0   0        111110 1111                               
 0579     73      5    0   0        111110 1111                               
 0580     7C      F    1   0        111101 1111                               
 0581     7B      F    1   0        111101 1111                               
 0582     7A      F    1   0        111101 1111                               
 0583     79      F    1   0        111101 1111                               
 0584     78      F    1   0        111101 1111                               
 0585     77      8    1   0        111101 1111                               
 0586     76      3    1   0        111101 1111                               
 0587     75      0    1   0        111101 1111                               
 0588     74      4    1   0        111101 1111                               
 0589     73      1    1   0        111101 1111                               
 0590     7E      0    1   0        111101 1111                               
 0591     7D      0    1   0        111101 1111                               
 0592     7C      0    1   0        111101 1111                               
 0593     7B      0    1   0        111101 1111                               
 0594     7A      0    1   0        111101 1111                               
 0595     79      8    1   0        111101 1111                               
 0596     78      0    1   0        111101 1111                               
 0597     77      5    1   0        111101 1111                               
 0598     76      4    1   0        111101 1111                               
 0599     75      4    1   0        111101 1111                               
 0600     74      4    1   0        111101 1111                               
 0601     73      5    1   0        111101 1111                               
 0602     7C      F    0   0        111110 1111                               
 0603     7B      F    0   0        111110 1111                               
 0604     7A      F    0   0        111110 1111                               
 0605     79      F    0   0        111110 1111                               
 0606     78      F    0   0        111110 1111                               
 0607     77      F    0   0        111110 1111                               
 0608     76      F    0   0        111110 1111                               
 0609     75      F    0   0        111110 1111                               
 0610     74      F    0   0        111110 1111                               
 0611     73      F    0   0        111110 1111                               
 0612     7E      0    0   0        111110 1111                               
 0613     7D      0    0   0        111110 1111                               
 0614     7C      0    0   0        111110 1111                               
 0615     7B      0    0   0        111110 1111                               
 0616     7A      0    0   0        111110 1111                               
 0617     79      0    0   0        111110 1111                               
 0618     78      0    0   0        111110 1111                               
 0619     77      0    0   0        111110 1111                               
 0620     76      0    0   0        111110 1111                               
 0621     75      8    0   0        111110 1111                               
 0622     74      0    0   0        111110 1111                               
 0623     73      0    0   0        111110 1111                               
 0624     7C      F    0   0        111110 1111                               
 0625     7B      F    0   0        111110 1111                               
 0626     7A      F    0   0        111110 1111                               
 0627     79      F    0   0        111110 1111                               
 0628     78      F    0   0        111110 1111                               
 0629     77      8    0   0        111110 1111                               
 0630     76      3    0   0        111110 1111                               
 0631     75      0    0   0        111110 1111                               
 0632     74      4    0   0        111110 1111                               
 0633     73      1    0   0        111110 1111                               
 0634     7C      0    0   0        111110 1111                               
 0635     7B      0    0   0        111110 1111                               
 0636     7A      0    0   0        111110 1111                               
 0637     79      4    0   0        111110 1111                               
 0638     78      0    0   0        111110 1111                               
 0639     77      5    0   0        111110 1111                               
