 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   WE  OP       CE     
 0235     7B      F    0   0        1111110 1111                              
 0236     7A      F    0   0        1111110 1111                              
 0237     79      F    0   0        0111110 1111                              
 0238     78      F    0   0        0111110 1111                              
 0239     77      F    0   0        0111110 1111                              
 0240     76      F    0   0        0111110 1111                              
 0241     75      F    0   0        0111110 1111                              
 0242     74      F    0   0        0111110 1111                              
 0243     73      1    0   0        0111110 1111                              
 0244     73      1    0   0        0111110 1111                              
 0245     7C      0    0   0        0111110 1111                              
 0246     7B      0    0   0        0111110 1111                              
 0247     7A      0    0   0        0111110 1111                              
 0248     79      0    0   0        0111110 1111                              
 0249     78      0    0   0        0111110 1111                              
 0250     77      0    0   0        0111110 1111                              
 0251     76      0    0   0        0111110 1111                              
 0252     75      0    0   0        0111110 1111                              
 0253     74      0    0   0        0111110 1111                              
 0254     73      5    0   0        0111110 1111                              
 0255     7C      F    1   0        1111101 1111                              
 0256     7B      F    1   0        1111101 1111                              
 0257     7A      F    1   0        1111101 1111                              
 0258     79      F    1   0        1111101 1111                              
 0259     78      F    1   0        1111101 1111                              
 0260     77      F    1   0        1111101 1111                              
 0261     76      F    1   0        1111101 1111                              
 0262     75      F    1   0        1111101 1111                              
 0263     74      F    1   0        1111101 1111                              
 0264     73      1    1   0        1111101 1111                              
 0265     7E      0    1   0        0111101 1111                              
 0266     7D      0    1   0        0111101 1111                              
 0267     7C      0    1   0        0111101 1111                              
 0268     7B      0    1   0        0111101 1111                              
 0269     7A      0    1   0        0111101 1111                              
 0270     79      8    1   0        0111101 1111                              
 0271     78      0    1   0        0111101 1111                              
 0272     77      0    1   0        0111101 1111                              
 0273     76      0    1   0        0111101 1111                              
 0274     75      0    1   0        0111101 1111                              
 0275     74      0    1   0        0111101 1111                              
 0276     73      5    1   0        0111101 1111                              
 0277     7C      F    0   0        0111110 1111                              
 0278     7B      F    0   0        0111110 1111                              
 0279     7A      F    0   0        0111110 1111                              
 0280     79      F    0   0        0111110 1111                              
 0281     78      F    0   0        0111110 1111                              
 0282     77      F    0   0        0111110 1111                              
 0283     76      F    0   0        0111110 1111                              
 0284     75      F    0   0        0111110 1111                              
 0285     74      F    0   0        0111110 1111                              
 0286     73      F    0   0        0111110 1111                              
 0287     7E      0    0   0        1111110 1111                              
 0288     7D      0    0   0        1111110 1111                              
 0289     7C      0    0   0        1111110 1111                              
 0290     7B      0    0   0        1111110 1111                              
 0291     7A      0    0   0        1111110 1111                              
 0292     79      0    0   0        1111110 1111                              
 0293     78      0    0   0        1111110 1111                              
 0294     77      0    0   0        1111110 1111                              
 0295     76      0    0   0        1111110 1111                              
 0296     75      8    0   0        1111110 1111                              
 0297     74      0    0   0        1111110 1111                              
 0298     73      0    0   0        1111110 1111                              
 0299     7C      F    0   0        1111110 1111                              
