 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   WE  OP       CE      
 0819     0B      F    1   1        11111111 1111                             
 0821     0C      F    1   1        11111111 1111                             
 0823     09      0    1   1        11111111 1111                             
 0825     0A      0    1   1        11111111 1111                             
 0827     0B      4    1   1        11111111 1111                             
 0829     01      0    1   1        11111111 1111                             
 0831     02      0    1   1        11111111 1111                             
 0833     03      0    1   1        11111111 1111                             
 0835     04      0    1   1        11111111 1111                             
 0837     05      0    1   1        11111111 1111                             
 0839     06      0    1   1        11111111 1111                             
 0841     07      0    1   1        11111111 1111                             
 0843     08      0    1   1        11111111 1111                             
 0845     09      0    1   1        11111111 1111                             
 0847     0A      8    1   1        11111111 1111                             
 0849     0B      0    1   1        11111111 1111                             
 0851     0C      0    1   1        11111111 1111                             
 0853     03      D    1   1        11111111 1111                             
 0855     04      0    1   1        11111111 1111                             
 0857     05      8    1   1        11111111 1111                             
 0859     03      C    1   1        11111111 1111                             
 0861     03      0    1   1        11111111 1111                             
 0863     04      0    1   1        11111111 1111                             
 0865     05      0    1   1        11111111 1111                             
 0867     06      0    1   1        11111111 1111                             
 0869     07      0    1   1        11111111 1111                             
 0871     08      0    1   1        11111111 1111                             
 0873     09      0    1   1        11111111 1111                             
 0875     0A      0    1   1        11111111 1111                             
 0877     0B      4    1   1        11111111 1111                             
 0879     0C      5    1   1        11111111 1111                             
 0881     03      D    1   1        11111111 1111                             
 0883     03      F    1   1        11111111 1111                             
 0885     04      F    1   1        11111111 1111                             
 0887     05      F    1   1        11111111 1111                             
 0889     06      F    1   1        11111111 1111                             
 0891     07      F    1   1        11111111 1111                             
 0893     08      F    1   1        11111111 1111                             
 0895     09      F    1   1        11111111 1111                             
 0897     0A      F    1   1        11111111 1111                             
 0899     0B      4    1   1        11111111 1111                             
 0901     0C      1    1   1        11111111 1111                             
 0903     03      F    1   1        11111111 1111                             
 0905     04      F    1   1        11111111 1111                             
 0907     05      F    1   1        11111111 1111                             
 0909     06      F    1   1        11111111 1111                             
 0911     07      F    1   1        11111111 1111                             
 0913     08      F    1   1        11111111 1111                             
 0915     09      F    1   1        11111111 1111                             
 0917     0A      0    1   1        11111111 1111                             
 0919     0B      4    1   1        11111111 1111                             
 0921     0C      1    1   1        11111111 1111                             
 0923     03      C    1   1        11111111 1111                             
 0925     03      0    1   1        11111111 1111                             
 0927     04      0    1   1        11111111 1111                             
 0929     05      0    1   1        11111111 1111                             
 0931     06      0    1   1        11111111 1111                             
 0933     07      0    1   1        11111111 1111                             
 0935     08      0    1   1        11111111 1111                             
 0937     09      0    1   1        11111111 1111                             
 0939     0A      4    1   1        11111111 1111                             
 0941     0B      4    1   1        11111111 1111                             
 0943     0C      5    1   1        11111111 1111                             
 0945     03      C    1   1        11111111 1111                             
 0947     04      0    1   1        11111111 1111                             
 0949     05      8    1   1        11111111 1111                             
 0951     03      C    1   1        11111111 1111                             
 0953     04      0    1   1        11111111 1111                             
 0955     05      8    1   1        11111111 1111                             
 0957     03      0    1   1        11111111 1111                             
 0959     04      0    1   1        11111111 1111                             
 0961     05      0    1   1        11111111 1111                             
