 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   CE
 7730     7B      0    1101111                                                
 7731     7A      0    1101111                                                
 7732     79      0    1101111                                                
 7733     78      0    1101111                                                
 7734     77      0    1101111                                                
 7735     76      4    1101111                                                
 7736     75      4    1101111                                                
 7737     74      4    1101111                                                
 7738     73      4    1101111                                                
 7739     7E      A    1011111                                                
 7740     7D      A    1011111                                                
 7741     7C      B    1011111                                                
 7742     7B      F    1011111                                                
 7743     7A      F    1011111                                                
 7744     79      F    1011111                                                
 7745     78      F    1011111                                                
 7746     77      F    1011111                                                
 7747     76      F    1011111                                                
 7748     75      F    1011111                                                
 7749     74      F    1011111                                                
 7750     73      F    1011111                                                
 7751     7E      0    1011111                                                
 7752     7D      0    1011111                                                
 7753     7C      0    1011111                                                
 7754     7B      0    1011111                                                
 7755     7A      0    1011111                                                
 7756     79      0    1011111                                                
 7757     78      0    1011111                                                
 7758     77      0    1011111                                                
 7759     76      0    1011111                                                
 7760     75      0    1011111                                                
 7761     74      0    1011111                                                
 7762     73      0    1011111                                                
 7763     7E      B    1101111                                                
 7764     7D      B    1101111                                                
 7765     7C      B    1101111                                                
 7766     7B      F    1101111                                                
 7767     7A      0    1101111                                                
 7768     79      0    1101111                                                
 7769     78      F    1101111                                                
 7770     77      8    1101111                                                
 7771     76      0    1101111                                                
 7772     75      0    1101111                                                
 7773     74      0    1101111                                                
 7774     73      0    1101111                                                
 7775     7E      0    1101111                                                
 7776     7D      0    1101111                                                
 7777     7C      0    1101111                                                
 7778     7B      0    1101111                                                
 7779     7A      0    1101111                                                
 7780     79      0    1101111                                                
 7781     78      0    1101111                                                
 7782     77      0    1101111                                                
 7783     76      4    1101111                                                
 7784     75      4    1101111                                                
 7785     74      4    1101111                                                
 7786     73      4    1101111                                                
 7787     7E      B    1011111                                                
 7788     7D      B    1011111                                                
 7789     7C      B    1011111                                                
 7790     7B      F    1011111                                                
 7791     7A      F    1011111                                                
 7792     79      F    1011111                                                
 7793     78      F    1011111                                                
 7794     77      F    1011111                                                
 7795     76      F    1011111                                                
 7796     75      F    1011111                                                
 7797     74      F    1011111                                                
 7798     73      F    1011111                                                
 7799     7E      0    1011111                                                
 7800     7D      0    1011111                                                
 7801     7C      0    1011111                                                
 7802     7B      0    1011111                                                
 7803     7A      0    1011111                                                
 7804     79      0    1011111                                                
 7805     78      0    1011111                                                
 7806     77      0    1011111                                                
 7807     76      0    1011111                                                
 7808     75      0    1011111                                                
 7809     74      0    1011111                                                
 7810     73      0    1011111                                                
 7811     75      4    1101111                                                
 7812     74      4    1101111                                                
 7813     73      0    1101111                                                
 7814     7E      0    1101111                                                
 7815     7D      B    1101111                                                
 7816     7C      B    1101111                                                
 7817     7B      F    1101111                                                
 7818     7A      0    1101111                                                
 7819     79      0    1101111                                                
 7820     78      F    1101111                                                
 7821     77      8    1101111                                                
 7822     76      0    1101111                                                
 7823     75      0    1101111                                                
 7824     74      0    1101111                                                
 7825     73      0    1101111                                                
 7826     7E      0    1101111                                                
 7827     7D      0    1101111                                                
 7828     7C      0    1101111                                                
 7829     7B      0    1101111                                                
 7830     7A      0    1101111                                                
 7831     79      0    1101111                                                
 7832     78      0    1101111                                                
 7833     77      0    1101111                                                
 7834     76      4    1101111                                                
 7835     75      4    1101111                                                
 7836     74      4    1101111                                                
 7837     73      4    1101111                                                
 7838     7E      A    1011111                                                
 7839     7D      A    1011111                                                
 7840     7C      B    1011111                                                
 7841     7B      F    1011111                                                
 7842     7A      F    1011111                                                
 7843     79      F    1011111                                                
 7844     78      F    1011111                                                
 7845     77      F    1011111                                                
 7846     76      F    1011111                                                
 7847     75      F    1011111                                                
 7848     74      F    1011111                                                
 7849     73      F    1011111                                                
 7850     7E      0    1011111                                                
 7851     7D      0    1011111                                                
 7852     7C      0    1011111                                                
 7853     7B      0    1011111                                                
 7854     7A      0    1011111                                                
 7855     79      0    1011111                                                
 7856     78      0    1011111                                                
 7857     77      0    1011111                                                
 7858     76      0    1011111                                                
 7859     75      0    1011111                                                
 7860     74      0    1011111                                                
 7861     73      0    1011111                                                
 7862     7E      B    1101111                                                
 7863     7D      B    1101111                                                
 7864     7C      B    1101111                                                
 7865     7B      F    1101111                                                
 7866     7A      0    1101111                                                
 7867     79      0    1101111                                                
 7868     78      F    1101111                                                
 7869     77      8    1101111                                                
 7870     76      0    1101111                                                
 7871     75      0    1101111                                                
 7872     74      0    1101111                                                
 7873     73      0    1101111                                                
 7874     7E      0    1101111                                                
 7875     7D      0    1101111                                                
 7876     7C      0    1101111                                                
 7877     7B      0    1101111                                                
 7878     7A      0    1101111                                                
 7879     79      0    1101111                                                
 7880     78      0    1101111                                                
 7881     77      0    1101111                                                
 7882     76      4    1101111                                                
 7883     75      4    1101111                                                
 7884     74      4    1101111                                                
 7885     73      4    1101111                                                
 7886     7E      B    1011111                                                
 7887     7D      B    1011111                                                
 7888     7C      B    1011111                                                
 7889     7B      F    1011111                                                
 7890     7A      F    1011111                                                
 7891     79      F    1011111                                                
 7892     78      F    1011111                                                
 7893     77      F    1011111                                                
 7894     76      F    1011111                                                
